permit_number,permit_type,application_date,issue_date,street,city,state,description,fee,contacts,cost
100086455,Electric Wiring,2005-12-27,2006-01-12,6444 S OAKLEY AVE,Chicago,Illinois,LOW VOLTAGE ALARM,40.0,"{'name': 'BROADVIEW SECURITY INC', 'location': {'city': 'IRVING', 'state': 'TX', 'zipcode': '75063-'}}",149.0
100086456,Electric Wiring,2005-12-27,2006-01-12,5604 S CARPENTER ST,Chicago,Illinois,LOW VOLTAGE ALARM,40.0,"{'name': 'BROADVIEW SECURITY INC', 'location': {'city': 'IRVING', 'state': 'TX', 'zipcode': '75063-'}}",274.0
100086457,Renovation/Alteration,2005-12-27,2006-01-31,630 S WABASH AVE,Chicago,Illinois,REMOVAL OF WEST AND EAST FIRE ESCAPES AND REPLACEMENT TWO SOUTH STAIRS AS PER PLANS.,1390.0,"{'name': 'ALI MOHAMED V', 'location': {'city': 'GLENVIEW', 'state': 'IL', 'zipcode': '60025-'}}",54000.0
100086458,Renovation/Alteration,2006-01-27,2006-01-27,9935 S ARTESIAN AVE,Chicago,Illinois,TO ERECT A ONE STORY FRAME ADDITION PER HOMEOWNER PLANS - Loc = ; - BCA15 = 4/0; - SVC1 = 1/120/240/1/3/100; - OEC-Lite = INCAND/5; - OEC-Recpt = 25; - Req-Fire-Alm = N; - Req-Em-Sys = N; - Req-Maint = N;,1220.0,"{'name': 'LENORE FLAHERTY', 'location': {'city': 'CHICAGO', 'state': 'IL', 'zipcode': '60655'}}",90000.0
100087278,Electric Wiring,2005-12-30,2006-01-12,8733 S EMERALD AVE,Chicago,Illinois,LOW VOLTAGE ALARM,40.0,"{'name': 'BROADVIEW SECURITY INC', 'location': {'city': 'IRVING', 'state': 'TX', 'zipcode': '75063-'}}",192.0
100011265,Electric Wiring,2004-10-15,2007-07-07,2635 S WESTERN AVE,Chicago,Illinois,SEPTEMBER MAINTENANCE,40.0,,0.0
100011516,Porch Construction,2004-10-18,2006-01-10,1620 N LATROBE AVE,Chicago,Illinois,"REPLACE EXISTING OPEN WOOD, ONE (1) STORY, FRONT PORCH WITH DEPARTMENT OF HOUSING PROTOTYPE REPLACEMENT PORCH.  APPROVED BY STAN-LEE KADERBEK.",250.0,"{'name': 'O.A.K.K. CONSTRUCTION CO., INC', 'location': {'city': 'SUMMIT', 'state': 'IL', 'zipcode': '60501-'}}",8000.0
100011654,New Construction,2004-10-19,2006-06-09,3637 N SHEFFIELD AVE,Chicago,Illinois,"masonry addition, roof top structure ,deconvert from 4 dwelling units to 1du and a roof top club as per plans.",8003.98,"{'name': 'HUTTER PAMELA J', 'location': {'city': 'CHICAGO', 'state': 'IL', 'zipcode': '60654'}}",450000.0
100087279,Electric Wiring,2005-12-30,2006-01-12,3232 N HALSTED ST,Chicago,Illinois,LOW VOLTAGE BURGLAR ALARM,40.0,"{'name': 'BROADVIEW SECURITY INC', 'location': {'city': 'IRVING', 'state': 'TX', 'zipcode': '75063-'}}",300.0
100087280,Electric Wiring,2006-01-12,2006-01-12,9015 S GREENWOOD AVE,Chicago,Illinois,LOW VOLTAGE ALARM,40.0,"{'name': 'BROADVIEW SECURITY INC', 'location': {'city': 'IRVING', 'state': 'TX', 'zipcode': '75063-'}}",79.0
100087281,Electric Wiring,2006-01-12,2006-01-12,9017 S GREENWOOD AVE,Chicago,Illinois,LOW VOLTAGE ALARM,40.0,"{'name': 'BROADVIEW SECURITY INC', 'location': {'city': 'IRVING', 'state': 'TX', 'zipcode': '75063-'}}",102.0
100087283,Electric Wiring,2006-01-12,2006-01-12,2041 W MOFFAT ST,Chicago,Illinois,LOW VOLTAGE BURGLAR ALARM,40.0,"{'name': 'BROADVIEW SECURITY INC', 'location': {'city': 'IRVING', 'state': 'TX', 'zipcode': '75063-'}}",350.0
100087284,Electric Wiring,2006-01-12,2006-01-12,3805 W 83RD ST,Chicago,Illinois,LOW VOLTAGE ALARM,40.0,"{'name': 'BROADVIEW SECURITY INC', 'location': {'city': 'IRVING', 'state': 'TX', 'zipcode': '75063-'}}",348.0
100087285,Electric Wiring,2005-12-30,2006-01-12,8422 S SEELEY AVE,Chicago,Illinois,LOW VOLTAGE ALARM,40.0,"{'name': 'BROADVIEW SECURITY INC', 'location': {'city': 'IRVING', 'state': 'TX', 'zipcode': '75063-'}}",83.0
100087286,Electric Wiring,2005-12-30,2006-01-12,7722 S CHRISTIANA AVE,Chicago,Illinois,LOW VOLTAGE ALARM,40.0,"{'name': 'BROADVIEW SECURITY INC', 'location': {'city': 'IRVING', 'state': 'TX', 'zipcode': '75063-'}}",177.0
100087289,Electric Wiring,2005-12-30,2006-01-12,10601 S LONGWOOD DR,Chicago,Illinois,LOW VOLTAGE ALARM,40.0,"{'name': 'BROADVIEW SECURITY INC', 'location': {'city': 'IRVING', 'state': 'TX', 'zipcode': '75063-'}}",562.0
100087295,Porch Construction,2005-12-30,2006-01-05,1620 N KEELER AVE,Chicago,Illinois,"REPLACE FRONT CONCRETE OPEN PORCH PER PLANS, SAME AS EXISTING.",135.0,"{'name': 'QUEZADA MACLOVIO', 'location': {'city': 'CHGO', 'state': 'IL', 'zipcode': '60639'}}",2000.0
100015368,Electric Wiring,2004-11-05,2007-07-07,170 N DEARBORN ST,Chicago,Illinois,"Monthly maintenance for October, letter on file. Repair two (2) incand. light fixtures. tested the ge3nerator/transfer switch. Encase the conduit for the fire pump service at the meter.",40.0,,0.0
100015369,Electric Wiring,2004-11-05,2007-07-07,501 N CLINTON ST,Chicago,Illinois,"Monthly maintenance for October, Lett on file. No work in this month.",40.0,,0.0
100015405,Electric Wiring,2004-11-05,2007-07-07,4500 W 47TH ST,Chicago,Illinois,MAINTANCE PERMIT FOR THE MONTH OF SEPTEMBER,40.0,,0.0
